Name,id_Number,row_Number,seat_Number,auditorium_Number
Johnny Pahl,30691199301075185,50,11,1
Johnny Thornton,34372196910129644,21,52,5
Johnny Washington,52517197303238745,21,17,3
Johnson Cox,17685201806202729,39,58,5
Johnson Mendez,21918196506165459,12,35,6
Johnson Navarro,65701201703223151,4,27,6
Johnson Tucker,40142194811289553,17,49,5
Jolyn Graham,21358201111168782,26,15,2
Jon Avitia,53133193204211026,26,2,2
Jon Bean,22567197805169857,26,56,1
Jon Boles,67559194101261072,62,56,4
Jon Christmas,61354201212228115,7,33,2
Jon Donovan,14351196206204243,25,43,1
Jon Ellis,81828197703202050,3,59,2
Jon Finley,65443199709056685,33,11,5
Jon Garcia,52179195112109366,2,31,2
Jon Kerr,56218195609094253,6,1,5
Jon Miceli,58048196007259782,59,43,2
Jon Morton,22057194103026834,28,16,5
Jon Naylor,49786199207082921,26,36,6
Jon Price,30292195105117050,46,20,2
Jon Rosado,27111201304236705,33,38,3
Jon Weir,36454195609271691,10,14,2
Jonathan Brown,47031194209297897,9,4,1
Jonathan Brown,28780193105236997,14,40,5
Jonathan Chapman,12068201310024607,20,24,6
Jonathan Fisher,11450197910111212,53,14,2
Jonathan Garcia,17900199910234800,14,22,6
Jonathan Hawks,35521195611129607,39,16,6
Jonathan Hedden,89500193305251884,16,33,2
Jonathan Hollis,46917194010047888,66,30,4
Jonathan Hyland,76875198405065143,16,57,4
Jonathan Knox,96787195507044075,21,40,5
Jonathan Martinez,89854198303319377,57,47,2
Jonathan Montero,33206194807138013,44,37,2
Jonathan Peterson,94588198611078043,13,62,4
Jonathan Rice,21286199704099709,2,56,5
Jonathan Rosario,51826193903251291,48,62,1
Jonathan Smith,37982194212179308,20,41,4
Jonathan Spillett,86962193503014203,29,18,5
Jonathan Teeter,15041193004096077,22,25,6
Jonathan Teeters,71021194410119471,37,23,5
Jonathan Trainor,22196198011281648,10,36,5
Jonathan Tripp,81749201405299333,63,35,4
Jonathan Turpin,22536196106012326,8,23,4
Jonathan Wilcox,74939196012014929,46,5,1
Jonathon Price,51590198411293814,14,10,5
Jonathon Wick,85689200003302936,37,35,1
Jone Wilson,61909197503201944,22,33,1
Joni Gittens,22433198202263870,35,24,1
Joni Jennings,86955196709125399,31,17,3
Jonnie Serrano,64166199203201380,44,33,1
Jordan Dabrowski,69455201402145585,24,29,6
Jordan Dinatale,50706199009121445,21,4,1
Jordan Kleinknecht,40953193412089194,4,53,1
Jordan Parkman,76173200912079788,23,22,1
Jordan Thomas,85475193208075205,23,14,6
Jordon Chambers,28784198007155944,16,49,2
Jordon Rider,23930201010103391,21,68,1
Jorge Bryant,59373197605221755,40,24,6
Jorge Foster,26859201309298251,48,32,1
Jorge Pacheco,96481196212143151,40,7,5
Jorge Roth,88342199510106151,49,30,2
Jose August,41195195703069446,1,62,2
Jose Belcher,25432194101295302,17,13,6
Jose Bevens,77464199704205026,2,9,5
Jose Biggs,51323193810199598,12,2,1
Jose Brooks,22159195509133335,38,19,4
Jose Brown,63811197309206204,31,18,5
Jose Calderon,76568200707308082,48,27,1
Jose Campos,90590199908111471,8,25,6
Jose Carter,62786198101052594,19,37,4
Jose Cassidy,44076193412134110,12,60,5
Jose Crenshaw,39481200606204082,28,17,2
Jose Curtis,21836195906264971,32,44,2
Jose Denes,19272197911139815,33,33,6
Jose Desmith,95409193104136870,49,1,4
Jose Duval,93819198001285774,23,26,1
Jose Edmondson,57174194904165542,43,2,1
Jose Evans,26060199503113816,9,15,4
Jose Franklin,55611200110097041,15,20,5
Jose Gandara,80971200011162429,16,28,2
Jose Gibson,10031194307033361,53,22,4
Jose Goldman,95934198010244134,24,9,3
Jose Gonzales,68131201608121467,25,56,2
Jose Harpster,29534196603193259,6,61,1
Jose Hernandez,29411194203079735,14,57,1
Jose Hicks,24887193205051159,17,13,2
Jose Hogsett,47836200611146549,47,10,2
Jose Johnson,22078199308193268,3,30,2
Jose Kloke,99447196307101199,34,17,1
Jose Kluge,63068197907093966,22,16,2
Jose Larkin,38669200002277429,33,3,6
Jose Lovisone,44828199410093760,63,49,4
Jose Mason,62347195012046322,19,26,1
Jose Mcallister,87612200707201032,63,58,4
Jose Mcdowell,89829196202012066,29,59,4
Jose Meidinger,26788195010031719,43,39,4
Jose Messler,31553197109229897,10,23,5
Jose Murray,92774201603078454,35,33,4
Jose Norris,70021200012036076,11,1,3
Jose Outlaw,63704201606013289,7,40,2
Jose Partida,59458194603318889,19,41,5
Jose Perkins,37812199910094400,3,1,6
Jose Perry,60608195701189509,64,9,4
Jose Powers,16806199802017735,18,33,2
Jose Ramos,40339201509134145,6,14,1
Jose Raybon,93800196706183157,28,58,2
Jose Reid,67513193501068952,35,43,2
Jose Rosenbaum,46971193502202326,52,50,2
Jose Schroder,64947201001289602,4,30,5
Jose Sellers,16772196307248431,16,45,5
Jose Sivak,54365193402213296,16,20,6
Jose Smith,79305194701077101,43,60,1
Jose Toney,53394200211075462,10,20,2
Jose Vogt,50771200506262823,22,34,3
Jose Wilburn,66131198410251752,41,5,4
Jose Williams,98289200301129620,42,15,2
Jose Wilson,11500200605194384,12,8,1
Jose Zwagerman,80467193903209608,49,46,2
Josef Ballard,51609194512063185,64,31,4
Josefa Cross,40169200603074137,37,56,5
Josefa Ennen,94821197301036130,13,56,5
Josefa Harrison,86308197005179604,2,12,4
Josefina Carter,42336199211309586,31,21,5
Joseph Allen,66053196702041856,36,28,5
Joseph Anderson,53203199006192680,43,26,4
Joseph Anklam,27993195312175784,25,13,1
Joseph Barham,45455199812125741,61,7,4
Joseph Barker,68515195604132003,46,53,5
Joseph Bartlett,99940197310072651,7,46,2
Joseph Beebe,45173193905217342,44,6,2
Joseph Bellows,25378199103241331,26,15,1
Joseph Blackburn,26666197010058140,41,49,5
Joseph Blenden,37650196906175710,53,46,4
Joseph Bolling,44606201112105624,25,59,2
Joseph Brien,11196199009195050,4,29,4
Joseph Brooks,82174201705171907,43,24,1
Joseph Brown,60610200412078558,55,41,4
Joseph Bundy,12870199106219880,60,31,4
Joseph Burns,99737194208263171,21,38,2
Joseph Cabrera,60954198609058289,50,29,2
Joseph Cart,72196197601186996,53,8,2
Joseph Chaffins,81342196301223144,19,51,2
Joseph Charles,91030194712203603,16,42,4
Joseph Chavez,91193195605091045,20,10,2
Joseph Coffie,77815196602283212,55,63,2
Joseph Conti,91568195105318373,19,33,2
Joseph Cooper,18049199111038674,35,5,4
Joseph Daigle,80433195911109024,2,62,2
Joseph Delangel,24610201508302797,12,38,6
Joseph Dobransky,95481194702044968,8,49,1
Joseph Edge,60479198611224987,52,52,4
Joseph Elkins,31353199006285660,30,17,3
Joseph Franco,32008199402151605,32,35,1
Joseph Freeman,41831199206057323,41,57,2
Joseph Frierson,38874201511028470,11,2,6
Joseph Gabriele,69584193203043754,27,4,6
Joseph Garza,57251196501053480,3,60,4
Joseph Gear,38359195410312877,10,12,2
Joseph Gizzi,65366197012135943,45,30,5
Joseph Gonzalez,37742198204306316,59,47,2
Joseph Gonzalez,86274199312269010,26,40,6
Joseph Graves,66366200001094888,35,67,4
Joseph Griffin,45930199807233208,25,50,2
Joseph Griffith,32264195004303375,64,52,4
Joseph Hagens,96838193911304424,2,35,4
Joseph Harvey,54049196306294199,34,41,4
Joseph Hefferman,64318200002182648,37,36,1
Joseph Helton,51387195605243199,10,11,2
Joseph Henderson,17150194106128031,26,14,4
Joseph Hufft,71657196901188472,6,65,4
Joseph Irish,61381195907243697,39,17,4
Joseph Jennings,59899193902063592,27,50,4
Joseph Johnson,93469194208068064,25,25,5
Joseph Jones,73327196504175777,5,21,2
Joseph Jones,88549200612201904,48,31,2
Joseph Kaufman,35297198811103757,11,49,2
Joseph Kershner,99341196909167481,63,5,4
Joseph Klingel,86095193602133194,25,38,5
Joseph Knight,53322194612138306,10,9,6
Joseph Korsmeyer,65752197206165448,11,55,2
Joseph Laster,77030196506213926,26,50,1
Joseph Lenoir,33953194411224496,36,43,3
Joseph Markham,87149201211074511,11,63,2
Joseph Maynard,59773193507199197,36,42,2
Joseph Meadows,97054198608148483,9,6,6
Joseph Mitkowski,21640195502024826,18,42,4
Joseph Monopoli,69735201110211718,4,27,3
Joseph Morris,85643193211138265,5,37,6
Joseph Needles,60620199704134260,43,39,2
Joseph Oakes,58338195210083264,12,29,4
Joseph Olive,20447194710297464,39,45,5
Joseph Oliver,25434196011047773,10,50,4
Joseph Onstott,56455200502151832,21,11,4
Joseph Perkins,56321201609025750,29,22,3
Joseph Phillips,39266201001313133,2,59,2
Joseph Redenius,60268195003024056,42,67,1
Joseph Ritchie,20228200710282284,22,10,3
Joseph Robinson,64567199312145888,8,62,4
Joseph Schaefer,18005200402179716,41,56,5
Joseph Schleusner,46367197811273364,2,13,2
Joseph Schott,34964193602018064,54,15,4
Joseph Silva,99428197304271400,5,29,6
Joseph Simon,47609196804018632,25,26,5
Joseph Sizemore,93625196412139336,38,6,3
Joseph Sloan,24001200909015812,12,47,4
Joseph Smith,98108201608148624,46,25,2
Joseph Smith,11347201507083384,16,11,4
Joseph Springer,96333195210042239,51,25,4
Joseph Stahl,51943201007089425,39,40,3
Joseph Stanley,33658199605145597,27,45,4
Joseph Stenn,34867197903283425,33,29,6
Joseph Stone,55092195102038522,30,8,2
Joseph Stone,89342201412106441,3,45,5
Joseph Suazo,14724193601296857,3,3,5
Joseph Taylor,12382201205224489,27,20,1
Joseph Tepper,27713196012166522,42,18,4
Joseph Throgmorton,74327196002114487,31,61,2
Joseph Tiry,38557200604161104,38,47,2
Joseph Torres,73987195801046991,36,42,4
Joseph Tyson,25564200506021439,37,18,3
Joseph Vasquez,92650197103309969,9,59,4
Joseph Veney,13986193411204368,3,31,3
Joseph Watson,79702201803238389,45,56,4
Joseph Weaver,70886200803209198,11,31,2
Joseph Wedge,77608193809178372,68,53,4
Joseph Welsh,28504200710315289,33,55,4
Joseph Whitehouse,47715199011131658,40,14,4
Joseph Williams,95459200004015131,6,32,5
Joseph Williams,59698194003307331,37,4,6
Joseph Willingham,51538198209217877,30,24,1
Joseph Wojciak,94692200612051330,43,2,5
Joseph Womack,64437201908062982,23,34,5
Joseph Worton,27601195806161053,1,59,5
Joseph Yanez,50661200105032766,17,8,5
Joseph Yoder,96411195503191825,30,56,5
Joseph Young,29627197408246714,8,15,2
Josephine Alvarez,72536196708029149,7,3,2
Josephine Bailey,10099200510275969,11,48,5
Josephine Curry,11626197304135740,11,21,5
Josephine Fox,34031196608257484,20,53,4
Josephine Jack,75915197503257096,53,20,2
Josephine Meyer,88590199708258076,13,68,4
Josephine Oakley,50324194002279075,36,15,4
Josephine Phillips,84564193608107448,25,26,1
Josephine Smallidge,90321200007102562,8,60,5
Josephine Villanueva,10862194807252252,45,53,4
Josephine Walters,62266199403126075,35,26,6
Josh Oliva,58317197510238284,57,26,2
Josh Weaver,44912197111199976,39,35,3
Joshua Alvarado,52926198310143679,44,43,5
Joshua Barrett,91581199311096478,30,6,5
Joshua Bartley,57084195607249624,26,27,2
Joshua Bauer,14492193311126433,44,21,1
Joshua Butler,41919194405192795,18,52,2
Joshua Campbell,13243196412155989,32,10,2
Joshua Clayton,64882198406215657,44,64,2
Joshua Colvard,50919198402104207,41,5,1
Joshua Cromwell,81299198805097008,31,4,6
Joshua Erdman,85563200403055987,2,32,5
Joshua Fisher,73314198206041990,10,39,2
Joshua Forrest,20360199703236884,17,43,4
Joshua Green,69203195508091462,16,34,5
Joshua Haith,69030193401158661,47,39,4
Joshua Herrera,82512198309143549,15,17,4
Joshua Hill,50678201501111827,25,9,4
Joshua Hill,39029201112042179,2,53,1
Joshua Hoskins,11389198102208206,21,18,5
Joshua Huffman,43168199010217895,19,19,1
Joshua Jacobs,32223196610053151,36,49,5
Joshua Jordan,64633195808102108,17,36,6
Joshua Justice,22202193307209454,46,33,1
Joshua Kenkel,56939195303063621,48,42,4
Joshua Lang,59368200107057463,9,5,5
Joshua Lewis,28840200112121091,43,37,2
Joshua Ludgate,41689200107319912,26,48,1
Joshua Manning,31772196811085163,37,38,1
Joshua Marshall,64583193511045376,5,21,4
Joshua Miller,69230201010258988,38,24,3
Joshua Morris,31533198011227483,1,23,3
Joshua Nixon,83969197609181752,41,10,6
Joshua Oliver,88016194809081130,2,48,1
Joshua Pursley,16922194110309313,6,63,4
Joshua Rogillio,71884201312164635,29,41,6
Joshua Rupp,10735193202096224,20,10,5
Joshua Sanders,80318201908238728,17,26,3
Joshua Schmal,78758200302046252,30,49,2
Joshua Snodgrass,88130193312294353,15,24,2
Joshua Spalding,73015197003295251,7,50,2
Joshua Spears,17407199003198924,4,26,3
Joshua Stanley,12814196309088949,35,44,4
Joshua Tatro,18552200606058324,35,58,4
Joshua Victory,99826196507213984,47,4,4
Joshua Whitenton,21767193708251693,44,7,2
Joshua Williams,60403197304146590,32,13,3
Josie Ritchie,75999194802228651,33,23,5
Jovita Portillo,70363197304305972,6,28,3
Joy Blount,79439194909052374,35,11,6
Joy Dryer,13315199302161960,9,57,5
Joy Gean,65593193309278237,22,14,3
Joy Laigle,31535199901201575,5,44,5
Joy Pete,52171197805146028,29,43,3
Joy Saavedra,95237198312186832,22,6,6
Joy Sage,56381196310065940,49,56,1
Joy Schellhase,31888197101153136,9,25,4
Joya Sam,57466199712154416,44,59,2
Joyce Allen,58507200507275329,60,46,4
Joyce Bank,43813199705206061,29,46,5
Joyce Bishop,97065201908059980,8,15,4
Joyce Bolin,61833198309172945,33,25,3
Joyce Bowen,55487201111057625,36,27,5
Joyce Chappel,83328197001287000,23,25,3
Joyce Cook,19128196710012615,27,19,1
Joyce Emmons,23516198012134858,21,12,4
Joyce Foster,97261195405144374,19,61,4
Joyce Hogarth,97459196704208576,38,22,1
Joyce Hopkins,72536194312139652,21,56,1
Joyce Isaac,67916199704287391,35,60,5
Joyce Jones,76335199208142639,2,3,5
Joyce Jordan,88904196408024135,30,59,4
Joyce Kim,87398193508086886,1,29,4
Joyce Nelson,45510198310153022,48,41,1
Joyce Peters,27727199911022968,43,46,1
Joyce Raymond,53128194309063064,24,39,3
Joyce Rose,75477201604273437,11,18,5
Joyce Scarpello,46690195502017347,29,21,2
Joyce Simoneaux,51075199503206157,18,29,2
Joyce Stone,15379200711201613,1,56,5
Joyce Stowell,33961201811154500,50,33,2
Joyce Swanson,10081199709078081,53,31,2
Joyce Turner,70991198408256018,20,53,2
Joyce White,92455193101099583,37,56,1
Joyce Widera,21925199506292550,1,16,2
Joycelyn Gardner,67305201411083081,60,62,4
Joycelyn Streett,88056198108136184,47,11,4
Joye Townsend,47633200204051215,43,14,4
Juan Ahlstrom,35436194410229541,30,29,2
Juan Alnutt,87144201902025425,3,11,6
Juan Anderson,17209195602156231,16,13,1
Juan Canales,12988197302159982,27,68,1
Juan Crawford,36277197109248977,54,30,4
Juan Cumberland,82276199402241855,21,21,4
Juan Cunningham,92971200605274898,14,6,5
Juan Daughrity,27045195703142341,18,24,6
Juan Gutierrez,21380194512261911,19,13,1
Juan Harbison,24641193306225625,17,47,3
Juan Liriano,37446194701276061,24,53,4
Juan Mcdonald,76857198910181310,24,6,1
Juan Moore,52075195606185869,49,57,1
Juan Orielly,58821193506133274,37,1,5
Juan Schmidt,89000196112145567,8,50,5
Juan Solis,55008201609146366,34,46,1
Juan Stark,30444198403026177,24,28,3
Juan Swanger,55585201311303463,5,35,4
Juan Taylor,28264196212198837,28,10,1
Juan Woods,60080193111182481,2,63,1
Juana Addis,61281198607174002,61,31,4
Juana Chapen,65348200006306372,53,32,4
Juana Crandall,47363199609067982,16,54,4
Juana Janicki,34549193310088015,52,19,4
Juana Langley,71858198808034629,52,49,2
Juanita Anderson,59601197003162002,29,10,4
Juanita Burgess,81801195902237007,43,2,4
Juanita Garcia,38549194810286059,18,27,5
Juanita Parnell,77932193102152615,12,61,1
Juanita Sims,78417196512277068,18,37,5
Juanita Thomas,50352201807025721,39,44,1
Juanita Warfield,49310194601314094,51,35,4
Juanita Wright,36832201302017271,38,17,1
Judie Cole,92830201407019807,45,36,4
Judith Brown,62323198201218604,36,10,4
Judith Downey,24053201212319725,4,50,1
Judith Fairbank,83598201610271453,6,7,5
Judith Garcia,88194193810214373,36,11,5
Judith Garcia,93834201211301637,22,10,4
Judith Hargrove,26736200912027722,37,44,5
Judith Hormell,92354193806084064,11,32,3
Judith Hurt,58768199010317507,14,51,2
Judith Jenkins,10553198805072792,56,44,2
Judith Khachatoorian,83442197004275831,35,60,1
Judith Mccollough,38781194108235276,20,19,4
Judith Paige,95250200102136914,9,37,1
Judith Rodgers,46917195411223830,24,40,6
Judith Sauredo,74989195802276401,36,36,6
Judith Shaw,86584201609116060,35,53,1
Judith Smith,86766199807085694,19,2,2
Judith Walsh,39080193809305351,9,52,2
Judith Woodruff,83840200109278265,49,1,1
Judith Wright,86734194811297356,8,30,1
Judy Barnes,93951196810183228,67,65,4
Judy Barnes,55461196605077426,12,21,4
Judy Coley,88713194902034836,39,34,6
Judy Cressey,40141195412183850,43,10,6
Judy Deschaine,97157194908316157,30,32,3
Judy Dunkelberger,45642197607249306,38,50,1
Judy Fischer,14335196011017181,58,51,4
Judy Goodrich,47195198809026518,14,43,2
Judy Harris,81950196808085346,40,31,6
Judy Howe,12231194310081771,1,62,5
Judy Huddle,60929201705033278,26,8,1
Judy Milam,83058196204199139,33,12,4
Judy Mitchum,66701195808268264,10,32,1
Judy Montgomery,87886197712159687,57,21,4
Judy Mosley,87330196205303851,18,27,2
Judy Reynolds,85822196908057801,7,37,2
Judy Roberts,15511193509157401,25,27,1
Judy Smith,35967196410313851,37,26,1
Judy Stone,39510201810192271,19,42,3
Judy Tanner,97303200608267854,37,4,1
Judy Timmerman,13610198706308918,40,29,6
Judy Valenzuela,85638198102152979,44,22,4
Judy Valone,73500201309074083,18,10,3
Jules Garrison,67231194005011243,3,7,4
Jules Whitman,76287193408075920,11,5,1
Julia Ables,68264199404035686,24,23,3
Julia Boswell,77815194111162132,37,50,2
Julia Brown,60071198412285624,37,44,1
Julia Coss,16480197807222136,2,43,2
Julia Decker,44918197602216906,10,7,1
Julia Gibson,62214193301184423,41,61,4
Julia Jones,14188196609157523,18,33,5
Julia Jordan,25859200907216633,27,54,4
Julia Lamb,16953196601104472,42,17,1
Julia Linton,72718200012225837,7,58,1
Julia Lowery,27139196807123542,31,18,2
Julia Mcintosh,84268198011148995,28,61,1
Julia Nguyen,79858194807012171,33,9,2
Julia Rappold,12788197610186892,23,16,5
Julia Sanchez,72367197306057678,38,58,2
Julia Schwarz,40484195710315968,23,20,2
Julia Simpon,88970196904221595,31,21,4
Julia Sukhu,16004199007018435,22,55,5
Julia Sullivan,21910198102247494,57,37,4
Julia Viles,13150200211115929,37,7,2
Julia Walker,13766200612063867,37,45,3
Julia Williams,64001193211215545,29,57,2
Julian Baker,79976195006036120,16,48,2
Julian Davis,87147194106288243,41,3,5
Julian Dorado,95521199210092723,6,47,2
Julian Gordon,67321199001266148,54,60,2
Julian Moreland,41554197101014690,41,45,1
Julian Nicholson,70191198801074005,47,48,1
Julian Summers,41737197109184844,26,38,6
Julian Terry,21279193206032971,4,48,4
Juliann Rudge,17968198512295688,39,40,4
Julie Akers,53972195612279344,30,33,1
Julie Allen,72773194505117847,2,12,6
Julie Archibald,70968194701234070,37,45,5
Julie Brooks,50177196703024855,36,21,6
Julie Castille,21153195403104931,8,10,3
Julie Coats,87624198106171974,25,17,2
Julie Ernest,13724195003166370,17,6,4
Julie Foster,39629201001189459,9,31,6
Julie Garcia,85971200306119739,9,41,5
Julie Goracke,47356198702252648,49,34,2
Julie Ibarra,95656195109188351,59,61,4
Julie Johnson,68099201301265178,31,62,1
Julie Lish,13585198004081707,5,1,6
Julie Martinez,90759199308016686,3,65,1
Julie Osborne,57266195611063136,28,8,1
Julie Persad,47242195909041221,37,64,4
Julie Porter,52385193810235890,31,13,4
Julie Potter,89912197112048275,31,35,3
Julie Quinn,91457198608038373,10,23,6
Julie Reed,25996200007195034,7,68,1
Julie Rios,83183193708141943,37,43,3
Julie Rogers,45717198601123092,26,25,1
Julie Salisbury,71265200903043305,42,67,4
Julie Soto,66925201411162126,54,21,2
Julie Tremblay,63116195305256234,33,27,3
Julie Triche,60377195001196375,42,8,2
Julie Umana,54111194402299686,18,49,1
Juliet Haag,53356197903318120,26,19,2
Juliette Kim,35876201110049532,27,23,2
Juliette Miller,34978196108195173,62,47,4
Julio Kump,64622195701286772,23,34,4
Julio Monroe,82768199205149821,7,42,5
Julio Osborne,15528195203075315,22,24,4
Julio Pritchard,21644201201073220,20,62,1
Julio Williams,12707194803187861,14,16,2
Julius Coleman,88229194612122852,20,66,4
Julius Hall,82090196009109343,48,44,1
Julius Lamberth,56448194611205285,16,38,4
Julius Rodriguez,54318198109083906,19,4,4
Julius Sistrunk,86917197806174222,26,12,3
June Deblois,46660193304152245,56,54,4
June Imbert,71684200005024405,20,2,5
June Johnson,55619197003068904,33,13,1
June Loiseau,94003200311052588,60,47,4
June Magee,79483198011121593,2,15,4
June Messick,57860198704077110,20,33,4
June Mills,50192193611252332,62,48,4
June Mullins,84185195801315378,15,7,4
June Reid,86043197202051967,31,23,1
June Slack,72643201106107976,45,10,4
Junior Bilbrey,95954197709023498,16,34,6
Junior Brennan,94582193808163551,15,11,6
Justin Baumbusch,62672199710307369,54,57,2
Justin Bennett,95165200509227708,5,51,2
Justin Carter,21548195807178232,11,48,2
Justin Davis,81105195804122569,42,32,2
Justin Dunne,13096201511019362,35,30,4
Justin Eller,90095195111296036,26,63,2
Justin Fambrough,84353193602109149,32,34,1
Justin Hodde,37227198903014637,20,9,2
Justin Jimenez,53471199301261529,47,45,1
Justin Ludgate,93244197003234331,1,11,2
Justin Maye,83002201911117594,5,49,2
Justin Parker,46743201404161868,4,15,5
Justin Robbins,36503199307106889,18,22,4
Justin Schaffer,53175193511244349,37,11,1
Justin Smith,93872195905254739,46,29,4
Justin Spada,88251198110169310,47,36,1
Justin Wahlstrom,25609197809233538,49,11,1
Justin Wilkins,97978199201071158,26,34,4
Justin Worsham,27272196403027150,21,3,1
Justina Butcher,96890196005234992,61,56,4
Justina Fleetwood,28578194611067241,7,52,1
Kacie Cook,32175196802231779,25,17,6
Kacie Dengler,36869197508258047,15,3,3
Kaitlin Gary,75394197805211902,33,29,3
Kara Cortes,63983195305103380,17,13,4
Kara Cortez,99052195403173500,30,28,3
Kara Rosi,10248201103253426,52,36,4
Karen Armijo,73167199803128611,14,45,5
Karen Benedict,28273199012051642,33,9,3
Karen Bland,76961195706022135,10,46,5
Karen Blankenship,25352194404071653,24,65,2
Karen Brazile,30527200912037328,45,20,2
Karen Burkart,96215195503289653,2,13,5
Karen Burnstein,93944195301165239,13,65,1
Karen Butler,42172198111025357,56,37,4
Karen Cardwell,97942196006091881,29,2,4
Karen Davis,50200196912074806,1,15,3
Karen Diga,63194200011271950,34,2,1
Karen Downs,75299200404162265,14,61,4
Karen Fleming,92329197211208810,29,53,5
Karen Foster,43159201204072480,22,17,2
Karen Gainer,51601196908232882,22,46,5
Karen Garcia,42476196208153080,9,27,6
Karen Graham,62032197501047925,39,18,6
Karen Graves,37391195712159044,14,30,2
Karen Hamons,76562196907069865,30,54,2
Karen Harvey,67833196109015163,4,36,5
Karen Hassell,48863198712045631,12,19,2
Karen Herrin,19025194205267868,24,44,4
Karen Hilson,76317200910021645,18,20,3
Karen Holloway,92772195012206759,40,9,2
Karen Horner,83132195701211265,42,36,1
Karen Hunt,92249195203035528,15,7,2
Karen Jackson,75550197001289509,16,66,1
Karen Jefcoat,67721198708058147,31,16,3
Karen Johnson,52805199412012155,17,41,2
Karen Jones,94120195310206190,3,27,2
Karen Lagrand,92955193310184677,36,35,4
Karen Lopez,88559195912054157,37,39,6
Karen Mckeighan,31273201409262597,27,56,5
Karen Meeks,32861193708053717,25,60,1
Karen Nincehelsor,47345195112247045,42,26,2
Karen Packer,51350199212171425,32,39,6
Karen Pearce,13131200601034914,43,22,5
Karen Perez,40867198306047545,29,36,6
Karen Rivera,67600198611285132,37,3,2
Karen Rivera,17234196301101451,23,27,3
Karen Ross,59837196512311419,6,26,1
Karen Santistevan,84762199007085956,47,4,2
Karen Sawtelle,91099194501039265,34,57,5
Karen Sepulveda,17900197910267896,38,57,4
Karen Stegall,19084193302036266,66,18,4
Karen Sweeting,72585201310082354,46,39,1
Karen Traylor,53539195102262950,32,27,1
Karen Waits,81928197911096667,9,1,5
Karen Walker,56422197603209335,30,24,2
Karen Walker,27815196810053908,67,30,4
Kari Brock,79639198108038659,3,45,1
Kari Cottle,39136201209257014,33,39,2
Kari Hawkins,70077196310131808,12,19,5
Kari Howard,69341196812196046,40,50,4
Kari Palmer,38049197011191561,28,45,3
Karin Demik,40610197606034620,58,52,4
Karin Holte,84051199403224708,36,27,3
Karina Galvin,92160201311241843,16,20,4
Karina Posey,48306200810082727,13,2,2
Karina Santoyo,15571198907211064,50,65,1
Karine Adams,69058197109129175,42,63,4
Karl Borysewicz,84405199211187600,10,11,3
Karl Falls,79402193908191346,4,23,1
Karl Marshall,28932196909259616,33,10,3
Karl Mikrot,35329199910212125,38,28,6
Karl Miller,73035195706154171,19,56,1
Karl Strong,96705201704041889,31,55,2
Karla Dobrich,99078199106113199,35,19,5
Karla Elizondo,12182197501075771,38,56,2
Karla Harrington,44937193909074353,23,11,4
Karla Harris,79892199107132911,29,33,6
Karry Dodson,99149194710213178,30,13,1
Kary Vesely,54401199308266290,6,30,1
Karyn Herrera,36628195810016758,28,46,5
Kasey Friend,86738194109188508,38,27,5
Kasey Miller,35091197709305903,22,56,5
Kassandra Salas,18076197512027939,18,6,5
Kate Abbott,64726193309052019,31,16,5
Kate Curley,46912196808012345,11,53,5
Katelyn Smiechowski,81892196805051635,27,2,4
Katharine Casanova,49257196603306609,29,25,3
Kathe Hill,64931198805234120,33,59,2
Katherine Boulanger,90380194106296179,61,53,4
Katherine Cheney,41438193503207662,25,11,4
Katherine Cork,50885197808036424,31,40,5
Katherine Doane,74946194809198683,27,37,4
Katherine Downer,47514200909223494,2,36,4
Katherine Estrada,63491198501298357,35,39,3
Katherine Green,25658193910129529,16,47,4
Katherine Gross,67361196306185814,7,50,1
Katherine Hinkle,23962199110169546,28,42,5
Katherine Jones,19664201702241900,39,12,3
Katherine Klan,35774194204308134,39,59,4
Katherine Pennell,52272197608234291,47,5,2
Katherine Peterson,72274201302014179,1,10,1
Katherine Sepulveda,71644193104076139,36,20,4
Katherine Walls,74383202005091273,49,4,1
Katherine Wilson,14383193608126115,41,59,1
Katheryn Luna,46221199705154160,20,49,2
Kathi Johnson,66805199609073258,56,30,2
Kathleen Appel,90116197312063797,64,10,4
Kathleen Beard,71433200204091277,30,23,2
Kathleen Beckham,64709199707273361,49,10,1
Kathleen Bigelow,46885200704118500,31,21,1
Kathleen Chavarria,90151197410154424,14,29,3
Kathleen Condrey,51765194611174323,30,7,3
Kathleen Cooper,49138193511189769,42,48,5
Kathleen Fitzpatrick,68265201907248727,20,22,3
Kathleen Foster,99687198109163980,12,25,6
Kathleen Gutierrez,28983193108214741,42,32,4
Kathleen Kinsman,16644199302227749,57,49,2
Kathleen Lewis,64382195011207897,56,46,2
Kathleen Martinez,96347195009083201,36,8,2
Kathleen Mathews,70053197512244940,1,39,2
Kathleen Osborn,34190193107179273,4,21,4
Kathleen Parsons,84301195805029874,32,2,1
Kathleen Phillips,23923198801115072,30,35,4
Kathleen Quinonez,70701197611025727,2,46,5
Kathleen Reed,20240194602034015,29,2,2
Kathleen Roberts,60953198011087680,2,34,2
Kathleen Sheets,99394196305135391,38,50,4
Kathleen Slocum,37385199209039064,14,36,1
Kathleen Wickham,73812200305198523,12,16,2
Kathleen Woods,38714194208118798,18,32,2
Kathrine Garrett,60372196605114952,31,51,2
Kathryn Bombard,15925199911192607,26,21,3
